group,item,sentence,question,left_answer,right_answer,correct_answer,structure,verb,indirect_object_animacy,verb_type
L,88,That's the park bench that the spy from the foreign nation tossed a secret package before he could be caught.,Where was the spy from?,a secret organization,a foreign nation,a foreign nation,double_object,send,inanimate,dative
M,88,That's the informant that the spy from the foreign nation traded a secret package to before he could be caught.,Where was the spy from?,a foreign nation,a secret organization,a foreign nation,prepositional_dative,give,animate,dative
N,88,That's the park bench that the spy from the foreign nation traded a secret package to before he could be caught.,Where was the spy from?,a foreign nation,a secret organization,a foreign nation,prepositional_dative,give,inanimate,dative
O,88,That's the informant that the spy from the foreign nation tossed a secret package to before he could be caught.,Where was the spy from?,a foreign nation,a secret organization,a foreign nation,prepositional_dative,send,animate,dative
P,88,That's the park bench that the spy from the foreign nation tossed a secret package to before he could be caught.,Where was the spy from?,a foreign nation,a secret organization,a foreign nation,prepositional_dative,send,inanimate,dative
Q,88,That's the informant where the spy from the foreign nation traded a secret package before he could be caught.,Where was the spy from?,a foreign nation,a secret organization,a foreign nation,where,give,animate,dative
R,88,That's the park bench where the spy from the foreign nation traded a secret package before he could be caught.,Where was the spy from?,a foreign nation,a secret organization,a foreign nation,where,give,inanimate,dative
S,88,That's the informant where the spy from the foreign nation tossed a secret package before he could be caught.,Where was the spy from?,a foreign nation,a secret organization,a foreign nation,where,send,animate,dative
T,88,That's the park bench where the spy from the foreign nation tossed a secret package before he could be caught.,Where was the spy from?,a foreign nation,a secret organization,a foreign nation,where,send,inanimate,dative
U,88,That's the informant that the spy from the foreign nation traded a secret package before he could be caught.,Where was the spy from?,a foreign nation,a secret organization,a foreign nation,double_object,give,animate,dative
V,88,That's the park bench that the spy from the foreign nation traded a secret package before he could be caught.,Where was the spy from?,a foreign nation,a secret organization,a foreign nation,double_object,give,inanimate,dative
W,88,That's the informant that the spy from the foreign nation tossed a secret package before he could be caught.,Where was the spy from?,a foreign nation,a secret organization,a foreign nation,double_object,send,animate,dative
X,88,That's the park bench that the spy from the foreign nation tossed a secret package before he could be caught.,Where was the spy from?,a foreign nation,a secret organization,a foreign nation,double_object,send,inanimate,dative
